Task2 Results

Smoking Cues : avg time on cross - 157.25 ms avg time on image - 429.25 ms
Non Smoking Cues : avg time on cross - 74.375 ms avg time on image - 388.875 ms
Set 0 Image 0 : time on cross - 51 ms time on image - 510 ms
Set 0 Image 1 : time on cross - 612 ms time on image - 595 ms
Set 0 Image 2 : time on cross - 85 ms time on image - 442 ms
Set 0 Image 3 : time on cross - 187 ms time on image - 442 ms
Set 1 Image 0 : time on cross - 255 ms time on image - 595 ms
Set 1 Image 1 : time on cross - 153 ms time on image - 459 ms
Set 1 Image 2 : time on cross - 204 ms time on image - 170 ms
Set 1 Image 3 : time on cross - 102 ms time on image - 646 ms
Set 2 Image 0 : time on cross - 51 ms time on image - 442 ms
Set 2 Image 1 : time on cross - 102 ms time on image - 68 ms
Set 2 Image 2 : time on cross - 0 ms time on image - 442 ms
Set 2 Image 3 : time on cross - 17 ms time on image - 340 ms
Set 3 Image 0 : time on cross - 0 ms time on image - 408 ms
Set 3 Image 1 : time on cross - 34 ms time on image - 357 ms
Set 3 Image 2 : time on cross - 0 ms time on image - 238 ms
Set 3 Image 3 : time on cross - 0 ms time on image - 391 ms
